Trust,TrustInScience,TrustInEdScience,Topic,Source,Consistency,lfdn,weight0
3,4,4,Integration,Scientific Study,Inconsistent,277,1.209
3,4,4,Grades,Episodic Evidence,Consistent,277,1.209
3,3,3,Signalling,Episodic Evidence,Consistent,278,1.209
3,3,3,Integration,Scientific Study,Inconsistent,278,1.209
3,3,3,Grades,Scientific Study,Inconsistent,282,1.596
3,3,3,Integration,Episodic Evidence,Consistent,282,1.596
3,4,2,Retention,Scientific Study,Inconsistent,283,2.056
3,4,2,Grades,Episodic Evidence,Inconsistent,283,2.056
4,4,3,Integration,Scientific Study,Consistent,284,0.796
4,4,3,Retention,Episodic Evidence,Consistent,284,0.796
3,5,4,Integration,Scientific Study,Inconsistent,286,1.101
2,5,4,Retention,Episodic Evidence,Inconsistent,286,1.101
3,4,3,Signalling,Scientific Study,Consistent,288,0.922
4,4,3,Retention,Episodic Evidence,Consistent,288,0.922
3,4,3,Grades,Scientific Study,Inconsistent,289,0.544
3,4,3,Integration,Episodic Evidence,Consistent,289,0.544
3,4,3,Retention,Scientific Study,Consistent,292,0.804
3,4,3,Integration,Episodic Evidence,Consistent,292,0.804
4,2,3,Integration,Scientific Study,Consistent,294,1.209
4,2,3,Signalling,Episodic Evidence,Inconsistent,294,1.209
4,4,4,Integration,Episodic Evidence,Inconsistent,296,1.101
4,4,4,Grades,Scientific Study,Consistent,296,1.101
3,4,3,Retention,Scientific Study,Inconsistent,297,0.842
3,4,3,Integration,Episodic Evidence,Inconsistent,297,0.842
3,5,4,Integration,Scientific Study,Consistent,299,0.922
NA,5,4,Retention,Episodic Evidence,Consistent,299,0.922
2,4,4,Retention,Scientific Study,Consistent,304,0.842
2,4,4,Grades,Episodic Evidence,Consistent,304,0.842
2,3,4,Grades,Episodic Evidence,Inconsistent,305,1.16
5,3,4,Integration,Scientific Study,Consistent,305,1.16
2,4,3,Signalling,Episodic Evidence,Inconsistent,306,0.922
2,4,3,Grades,Scientific Study,Consistent,306,0.922
3,4,3,Signalling,Scientific Study,Inconsistent,307,0.842
4,4,3,Grades,Episodic Evidence,Consistent,307,0.842
2,3,3,Retention,Scientific Study,Inconsistent,308,1.209
NA,3,3,Integration,Episodic Evidence,Inconsistent,308,1.209
NA,5,4,Grades,Episodic Evidence,Consistent,309,0.651
NA,5,4,Retention,Scientific Study,Consistent,309,0.651
NA,4,4,Integration,Scientific Study,Inconsistent,310,1.209
1,4,4,Signalling,Episodic Evidence,Consistent,310,1.209
3,4,3,Retention,Scientific Study,Consistent,311,1.16
3,4,3,Signalling,Episodic Evidence,Consistent,311,1.16
NA,4,4,Grades,Episodic Evidence,Consistent,312,1.205
NA,4,4,Signalling,Scientific Study,Inconsistent,312,1.205
3,4,3,Retention,Scientific Study,Inconsistent,313,1.101
3,4,3,Integration,Episodic Evidence,Inconsistent,313,1.101
4,4,3,Signalling,Scientific Study,Consistent,320,0.925
NA,4,3,Retention,Episodic Evidence,Consistent,320,0.925
3,4,4,Integration,Scientific Study,Inconsistent,321,1.209
NA,4,4,Grades,Episodic Evidence,Consistent,321,1.209
1,4,3,Signalling,Episodic Evidence,Inconsistent,322,0.842
4,4,3,Integration,Scientific Study,Consistent,322,0.842
NA,4,4,Grades,Episodic Evidence,Inconsistent,323,1.16
NA,4,4,Integration,Scientific Study,Consistent,323,1.16
3,4,3,Retention,Scientific Study,Consistent,324,0.851
3,4,3,Signalling,Episodic Evidence,Consistent,324,0.851
3,3,2,Retention,Episodic Evidence,Inconsistent,326,0.973
3,3,2,Grades,Scientific Study,Inconsistent,326,0.973
4,4,3,Integration,Scientific Study,Inconsistent,332,0.421
4,4,3,Retention,Episodic Evidence,Inconsistent,332,0.421
3,4,3,Retention,Episodic Evidence,Inconsistent,333,0.779
4,4,3,Integration,Scientific Study,Inconsistent,333,0.779
4,4,4,Integration,Scientific Study,Consistent,334,1.205
1,4,4,Grades,Episodic Evidence,Inconsistent,334,1.205
3,4,2,Retention,Scientific Study,Consistent,336,0.842
2,4,2,Grades,Episodic Evidence,Consistent,336,0.842
2,4,4,Grades,Episodic Evidence,Consistent,337,0.851
NA,4,4,Integration,Scientific Study,Inconsistent,337,0.851
NA,4,4,Integration,Scientific Study,Inconsistent,338,1.101
4,4,4,Retention,Episodic Evidence,Inconsistent,338,1.101
NA,4,3,Integration,Scientific Study,Inconsistent,339,0.842
1,4,3,Grades,Episodic Evidence,Consistent,339,0.842
2,5,4,Integration,Episodic Evidence,Inconsistent,342,0.922
4,5,4,Signalling,Scientific Study,Consistent,342,0.922
1,4,2,Grades,Episodic Evidence,Inconsistent,343,0.55
NA,4,2,Retention,Scientific Study,Inconsistent,343,0.55
3,3,4,Retention,Scientific Study,Inconsistent,344,1.205
3,3,4,Integration,Episodic Evidence,Inconsistent,344,1.205
4,5,3,Grades,Scientific Study,Inconsistent,345,1.101
1,5,3,Signalling,Episodic Evidence,Consistent,345,1.101
4,4,3,Integration,Scientific Study,Consistent,346,1.101
4,4,3,Signalling,Episodic Evidence,Inconsistent,346,1.101
2,4,4,Signalling,Episodic Evidence,Inconsistent,347,1.143
2,4,4,Retention,Scientific Study,Inconsistent,347,1.143
3,5,4,Retention,Scientific Study,Inconsistent,348,1.101
3,5,4,Signalling,Episodic Evidence,Inconsistent,348,1.101
NA,4,4,Grades,Episodic Evidence,Consistent,349,1.209
NA,4,4,Integration,Scientific Study,Inconsistent,349,1.209
4,4,4,Grades,Scientific Study,Consistent,350,0.739
3,4,4,Integration,Episodic Evidence,Inconsistent,350,0.739
2,4,4,Retention,Scientific Study,Inconsistent,351,0.922
2,4,4,Integration,Episodic Evidence,Inconsistent,351,0.922
2,4,3,Retention,Episodic Evidence,Inconsistent,353,1.209
4,4,3,Integration,Scientific Study,Inconsistent,353,1.209
3,4,4,Grades,Scientific Study,Inconsistent,354,0.544
3,4,4,Signalling,Episodic Evidence,Consistent,354,0.544
3,4,3,Grades,Episodic Evidence,Inconsistent,355,1.101
3,4,3,Integration,Scientific Study,Consistent,355,1.101
1,5,3,Integration,Episodic Evidence,Inconsistent,356,1.101
3,5,3,Retention,Scientific Study,Inconsistent,356,1.101
3,4,4,Grades,Scientific Study,Consistent,357,0.651
3,4,4,Retention,Episodic Evidence,Consistent,357,0.651
3,4,3,Retention,Episodic Evidence,Inconsistent,358,1.143
2,4,3,Grades,Scientific Study,Inconsistent,358,1.143
4,4,4,Integration,Scientific Study,Consistent,359,1.101
2,4,4,Signalling,Episodic Evidence,Inconsistent,359,1.101
NA,3,2,Signalling,Scientific Study,Consistent,360,1.096
1,3,2,Grades,Episodic Evidence,Inconsistent,360,1.096
3,4,1,Grades,Episodic Evidence,Consistent,362,0.565
4,4,1,Signalling,Scientific Study,Inconsistent,362,0.565
1,5,4,Grades,Episodic Evidence,Consistent,363,0.615
3,5,4,Signalling,Scientific Study,Inconsistent,363,0.615
3,4,3,Grades,Scientific Study,Consistent,367,0.651
4,4,3,Retention,Episodic Evidence,Consistent,367,0.651
NA,5,4,Grades,Scientific Study,Inconsistent,368,0.842
NA,5,4,Integration,Episodic Evidence,Consistent,368,0.842
3,5,3,Grades,Episodic Evidence,Consistent,369,1.566
4,5,3,Retention,Scientific Study,Consistent,369,1.566
5,4,3,Retention,Scientific Study,Consistent,370,0.925
4,4,3,Signalling,Episodic Evidence,Consistent,370,0.925
4,4,3,Grades,Scientific Study,Inconsistent,372,1.16
2,4,3,Integration,Episodic Evidence,Consistent,372,1.16
2,5,5,Signalling,Episodic Evidence,Inconsistent,373,0.842
4,5,5,Integration,Scientific Study,Consistent,373,0.842
3,3,4,Grades,Scientific Study,Consistent,375,0.736
3,3,4,Signalling,Episodic Evidence,Inconsistent,375,0.736
3,4,4,Retention,Scientific Study,Inconsistent,377,0.973
3,4,4,Grades,Episodic Evidence,Inconsistent,377,0.973
3,4,4,Grades,Episodic Evidence,Consistent,378,0.736
4,4,4,Integration,Scientific Study,Inconsistent,378,0.736
NA,4,4,Grades,Scientific Study,Inconsistent,379,0.842
NA,4,4,Integration,Episodic Evidence,Consistent,379,0.842
2,4,3,Retention,Episodic Evidence,Inconsistent,380,1.209
4,4,3,Grades,Scientific Study,Inconsistent,380,1.209
3,3,3,Integration,Episodic Evidence,Inconsistent,383,1.101
3,3,3,Signalling,Scientific Study,Consistent,383,1.101
4,3,3,Retention,Episodic Evidence,Consistent,386,1.209
3,3,3,Grades,Scientific Study,Consistent,386,1.209
4,5,4,Retention,Scientific Study,Consistent,388,1.101
2,5,4,Integration,Episodic Evidence,Consistent,388,1.101
NA,4,2,Signalling,Scientific Study,Inconsistent,389,1.566
1,4,2,Integration,Episodic Evidence,Consistent,389,1.566
3,5,4,Signalling,Episodic Evidence,Inconsistent,391,0.851
4,5,4,Integration,Scientific Study,Consistent,391,0.851
3,4,4,Integration,Episodic Evidence,Inconsistent,392,1.209
NA,4,4,Retention,Scientific Study,Inconsistent,392,1.209
2,4,4,Grades,Episodic Evidence,Consistent,393,1.101
3,4,4,Retention,Scientific Study,Consistent,393,1.101
3,3,2,Grades,Scientific Study,Inconsistent,394,0.673
4,3,2,Retention,Episodic Evidence,Inconsistent,394,0.673
3,3,3,Signalling,Scientific Study,Consistent,395,0.842
1,3,3,Grades,Episodic Evidence,Inconsistent,395,0.842
1,3,3,Integration,Episodic Evidence,Inconsistent,396,0.973
NA,3,3,Grades,Scientific Study,Consistent,396,0.973
4,4,2,Retention,Episodic Evidence,Consistent,397,1.209
3,4,2,Signalling,Scientific Study,Consistent,397,1.209
4,4,4,Integration,Scientific Study,Inconsistent,399,1.209
3,4,4,Signalling,Episodic Evidence,Consistent,399,1.209
3,3,4,Integration,Scientific Study,Inconsistent,400,1.205
NA,3,4,Signalling,Episodic Evidence,Consistent,400,1.205
NA,4,3,Grades,Episodic Evidence,Consistent,401,0.887
NA,4,3,Signalling,Scientific Study,Inconsistent,401,0.887
NA,4,4,Integration,Scientific Study,Consistent,403,0.743
2,4,4,Retention,Episodic Evidence,Consistent,403,0.743
NA,3,3,Signalling,Episodic Evidence,Consistent,404,0.887
4,3,3,Retention,Scientific Study,Consistent,404,0.887
2,3,3,Retention,Episodic Evidence,Consistent,407,1.209
2,3,3,Signalling,Scientific Study,Consistent,407,1.209
3,4,2,Grades,Episodic Evidence,Inconsistent,408,0.779
2,4,2,Integration,Scientific Study,Consistent,408,0.779
4,4,4,Signalling,Scientific Study,Consistent,409,1.139
2,4,4,Retention,Episodic Evidence,Consistent,409,1.139
NA,3,3,Retention,Scientific Study,Consistent,410,1.209
3,3,3,Grades,Episodic Evidence,Consistent,410,1.209
4,3,4,Integration,Episodic Evidence,Inconsistent,411,0.651
4,3,4,Signalling,Scientific Study,Consistent,411,0.651
3,4,4,Retention,Scientific Study,Inconsistent,412,0.52
3,4,4,Signalling,Episodic Evidence,Inconsistent,412,0.52
2,4,4,Signalling,Episodic Evidence,Consistent,413,1.205
4,4,4,Grades,Scientific Study,Inconsistent,413,1.205
4,4,4,Integration,Scientific Study,Inconsistent,414,0.842
4,4,4,Retention,Episodic Evidence,Inconsistent,414,0.842
2,4,3,Grades,Scientific Study,Inconsistent,415,0.544
2,4,3,Signalling,Episodic Evidence,Consistent,415,0.544
NA,3,3,Integration,Episodic Evidence,Consistent,416,0.544
4,3,3,Grades,Scientific Study,Inconsistent,416,0.544
3,4,4,Retention,Scientific Study,Inconsistent,417,0.782
2,4,4,Integration,Episodic Evidence,Inconsistent,417,0.782
4,4,3,Grades,Scientific Study,Consistent,419,1.101
4,4,3,Signalling,Episodic Evidence,Inconsistent,419,1.101
4,4,2,Retention,Scientific Study,Consistent,420,1.101
4,4,2,Integration,Episodic Evidence,Consistent,420,1.101
3,4,4,Integration,Scientific Study,Inconsistent,421,1.041
3,4,4,Signalling,Episodic Evidence,Consistent,421,1.041
NA,4,2,Grades,Episodic Evidence,Inconsistent,422,0.842
NA,4,2,Integration,Scientific Study,Consistent,422,0.842
4,4,4,Retention,Scientific Study,Consistent,423,0.651
3,4,4,Integration,Episodic Evidence,Consistent,423,0.651
1,3,3,Signalling,Episodic Evidence,Consistent,424,0.779
2,3,3,Grades,Scientific Study,Inconsistent,424,0.779
3,3,4,Integration,Episodic Evidence,Inconsistent,427,0.596
4,3,4,Signalling,Scientific Study,Consistent,427,0.596
2,4,3,Signalling,Episodic Evidence,Inconsistent,428,0.973
3,4,3,Retention,Scientific Study,Inconsistent,428,0.973
1,4,3,Integration,Episodic Evidence,Inconsistent,429,1.504
3,4,3,Grades,Scientific Study,Consistent,429,1.504
NA,4,4,Grades,Scientific Study,Inconsistent,431,1.209
NA,4,4,Integration,Episodic Evidence,Consistent,431,1.209
3,3,4,Retention,Episodic Evidence,Inconsistent,433,1.531
4,3,4,Signalling,Scientific Study,Inconsistent,433,1.531
3,4,4,Retention,Episodic Evidence,Consistent,434,0.782
4,4,4,Integration,Scientific Study,Consistent,434,0.782
NA,4,3,Signalling,Episodic Evidence,Consistent,435,1.209
NA,4,3,Grades,Scientific Study,Inconsistent,435,1.209
1,3,3,Retention,Scientific Study,Inconsistent,437,1.209
1,3,3,Integration,Episodic Evidence,Inconsistent,437,1.209
4,4,4,Signalling,Scientific Study,Inconsistent,438,1.041
1,4,4,Grades,Episodic Evidence,Consistent,438,1.041
2,4,2,Signalling,Episodic Evidence,Consistent,439,1.101
2,4,2,Retention,Scientific Study,Consistent,439,1.101
2,4,4,Signalling,Scientific Study,Inconsistent,440,1.209
4,4,4,Retention,Episodic Evidence,Inconsistent,440,1.209
2,4,3,Signalling,Episodic Evidence,Consistent,445,0.782
2,4,3,Retention,Scientific Study,Consistent,445,0.782
NA,4,4,Grades,Scientific Study,Inconsistent,446,2.176
1,4,4,Integration,Episodic Evidence,Consistent,446,2.176
4,4,4,Retention,Scientific Study,Inconsistent,448,0.842
2,4,4,Grades,Episodic Evidence,Inconsistent,448,0.842
3,5,4,Retention,Scientific Study,Consistent,449,0.744
3,5,4,Grades,Episodic Evidence,Consistent,449,0.744
3,4,4,Grades,Scientific Study,Inconsistent,450,1.143
2,4,4,Integration,Episodic Evidence,Consistent,450,1.143
3,4,4,Integration,Scientific Study,Consistent,451,0.744
2,4,4,Grades,Episodic Evidence,Inconsistent,451,0.744
2,4,4,Integration,Episodic Evidence,Inconsistent,453,0.851
4,4,4,Grades,Scientific Study,Consistent,453,0.851
2,4,4,Grades,Episodic Evidence,Inconsistent,454,0.842
4,4,4,Retention,Scientific Study,Inconsistent,454,0.842
4,3,4,Retention,Scientific Study,Consistent,456,1.209
3,3,4,Integration,Episodic Evidence,Consistent,456,1.209
3,4,3,Grades,Scientific Study,Consistent,459,1.209
3,4,3,Signalling,Episodic Evidence,Inconsistent,459,1.209
3,4,3,Retention,Scientific Study,Consistent,461,1.101
2,4,3,Integration,Episodic Evidence,Consistent,461,1.101
NA,4,2,Retention,Scientific Study,Consistent,462,1.205
2,4,2,Grades,Episodic Evidence,Consistent,462,1.205
3,4,4,Grades,Episodic Evidence,Consistent,463,0.796
4,4,4,Retention,Scientific Study,Consistent,463,0.796
3,4,3,Retention,Episodic Evidence,Consistent,464,0.782
3,4,3,Integration,Scientific Study,Consistent,464,0.782
NA,4,4,Signalling,Scientific Study,Inconsistent,467,1.209
NA,4,4,Retention,Episodic Evidence,Inconsistent,467,1.209
4,4,4,Grades,Scientific Study,Inconsistent,468,0.842
NA,4,4,Signalling,Episodic Evidence,Consistent,468,0.842
4,4,4,Integration,Episodic Evidence,Inconsistent,470,0.782
4,4,4,Signalling,Scientific Study,Consistent,470,0.782
NA,3,4,Integration,Scientific Study,Inconsistent,471,1.205
1,3,4,Signalling,Episodic Evidence,Consistent,471,1.205
4,4,4,Retention,Scientific Study,Inconsistent,474,1.139
3,4,4,Signalling,Episodic Evidence,Inconsistent,474,1.139
NA,3,3,Integration,Episodic Evidence,Consistent,475,0.804
3,3,3,Retention,Scientific Study,Consistent,475,0.804
3,5,1,Signalling,Episodic Evidence,Consistent,476,0.842
3,5,1,Integration,Scientific Study,Inconsistent,476,0.842
2,5,5,Retention,Episodic Evidence,Consistent,478,0.874
4,5,5,Grades,Scientific Study,Consistent,478,0.874
4,3,4,Integration,Episodic Evidence,Consistent,480,1.16
4,3,4,Signalling,Scientific Study,Inconsistent,480,1.16
NA,3,3,Integration,Scientific Study,Consistent,481,0.851
NA,3,3,Grades,Episodic Evidence,Inconsistent,481,0.851
3,4,4,Retention,Scientific Study,Inconsistent,482,1.101
3,4,4,Integration,Episodic Evidence,Inconsistent,482,1.101
4,3,4,Signalling,Episodic Evidence,Consistent,483,2.176
2,3,4,Integration,Scientific Study,Inconsistent,483,2.176
3,4,4,Retention,Episodic Evidence,Inconsistent,484,0.673
4,4,4,Integration,Scientific Study,Inconsistent,484,0.673
3,4,4,Integration,Scientific Study,Consistent,485,0.925
2,4,4,Retention,Episodic Evidence,Consistent,485,0.925
1,4,2,Grades,Episodic Evidence,Inconsistent,486,0.651
2,4,2,Integration,Scientific Study,Consistent,486,0.651
NA,4,2,Grades,Episodic Evidence,Consistent,487,0.651
4,4,2,Signalling,Scientific Study,Inconsistent,487,0.651
1,4,4,Signalling,Episodic Evidence,Inconsistent,489,1.16
NA,4,4,Retention,Scientific Study,Inconsistent,489,1.16
NA,4,4,Retention,Episodic Evidence,Consistent,490,0.629
4,4,4,Integration,Scientific Study,Consistent,490,0.629
4,4,4,Signalling,Scientific Study,Inconsistent,491,0.874
4,4,4,Grades,Episodic Evidence,Consistent,491,0.874
NA,3,1,Integration,Scientific Study,Consistent,492,1.101
NA,3,1,Signalling,Episodic Evidence,Inconsistent,492,1.101
2,4,4,Signalling,Episodic Evidence,Consistent,496,1.205
3,4,4,Integration,Scientific Study,Inconsistent,496,1.205
4,4,2,Signalling,Episodic Evidence,Consistent,498,0.842
3,4,2,Retention,Scientific Study,Consistent,498,0.842
3,4,4,Integration,Scientific Study,Inconsistent,499,0.651
1,4,4,Retention,Episodic Evidence,Inconsistent,499,0.651
4,3,3,Grades,Episodic Evidence,Consistent,500,1.139
NA,3,3,Integration,Scientific Study,Inconsistent,500,1.139
4,4,3,Retention,Episodic Evidence,Consistent,502,0.598
5,4,3,Signalling,Scientific Study,Consistent,502,0.598
3,4,4,Signalling,Scientific Study,Inconsistent,503,0.851
4,4,4,Integration,Episodic Evidence,Consistent,503,0.851
NA,4,4,Retention,Scientific Study,Inconsistent,504,1.096
NA,4,4,Grades,Episodic Evidence,Inconsistent,504,1.096
3,4,3,Integration,Scientific Study,Consistent,505,0.925
1,4,3,Retention,Episodic Evidence,Consistent,505,0.925
5,5,4,Grades,Scientific Study,Consistent,506,0.55
5,5,4,Retention,Episodic Evidence,Consistent,506,0.55
4,4,4,Signalling,Scientific Study,Consistent,507,0.782
4,4,4,Grades,Episodic Evidence,Inconsistent,507,0.782
NA,3,4,Signalling,Scientific Study,Consistent,509,2.088
2,3,4,Grades,Episodic Evidence,Inconsistent,509,2.088
4,4,4,Integration,Scientific Study,Inconsistent,511,1.205
1,4,4,Grades,Episodic Evidence,Consistent,511,1.205
1,3,3,Grades,Episodic Evidence,Consistent,512,1.205
NA,3,3,Signalling,Scientific Study,Inconsistent,512,1.205
3,4,3,Grades,Episodic Evidence,Consistent,514,0.52
4,4,3,Signalling,Scientific Study,Inconsistent,514,0.52
3,3,2,Integration,Episodic Evidence,Consistent,515,1.101
2,3,2,Signalling,Scientific Study,Inconsistent,515,1.101
3,4,3,Grades,Scientific Study,Consistent,516,1.209
3,4,3,Retention,Episodic Evidence,Consistent,516,1.209
1,4,3,Retention,Episodic Evidence,Inconsistent,518,0.743
4,4,3,Signalling,Scientific Study,Inconsistent,518,0.743
4,4,1,Grades,Episodic Evidence,Consistent,520,0.629
4,4,1,Signalling,Scientific Study,Inconsistent,520,0.629
4,4,2,Integration,Scientific Study,Consistent,521,0.629
3,4,2,Signalling,Episodic Evidence,Inconsistent,521,0.629
3,4,4,Grades,Scientific Study,Consistent,522,1.209
NA,4,4,Integration,Episodic Evidence,Inconsistent,522,1.209
NA,NA,NA,Retention,Scientific Study,Consistent,524,1.143
NA,NA,NA,Grades,Episodic Evidence,Consistent,524,1.143
1,3,3,Signalling,Episodic Evidence,Consistent,527,0.842
3,3,3,Retention,Scientific Study,Consistent,527,0.842
4,4,4,Grades,Scientific Study,Consistent,528,0.712
2,4,4,Integration,Episodic Evidence,Inconsistent,528,0.712
3,4,3,Integration,Episodic Evidence,Consistent,530,0.842
4,4,3,Signalling,Scientific Study,Inconsistent,530,0.842
NA,3,3,Signalling,Episodic Evidence,Consistent,531,0.651
NA,3,3,Grades,Scientific Study,Inconsistent,531,0.651
1,5,4,Retention,Scientific Study,Inconsistent,533,1.096
3,5,4,Signalling,Episodic Evidence,Inconsistent,533,1.096
NA,4,4,Integration,Episodic Evidence,Inconsistent,534,0.842
NA,4,4,Retention,Scientific Study,Inconsistent,534,0.842
3,4,4,Signalling,Scientific Study,Inconsistent,536,0.922
3,4,4,Retention,Episodic Evidence,Inconsistent,536,0.922
2,4,3,Grades,Episodic Evidence,Inconsistent,537,0.598
NA,4,3,Retention,Scientific Study,Inconsistent,537,0.598
3,4,3,Signalling,Episodic Evidence,Inconsistent,541,0.973
1,4,3,Retention,Scientific Study,Inconsistent,541,0.973
NA,4,4,Retention,Episodic Evidence,Consistent,542,2.049
4,4,4,Grades,Scientific Study,Consistent,542,2.049
NA,5,4,Retention,Scientific Study,Consistent,543,0.842
3,5,4,Grades,Episodic Evidence,Consistent,543,0.842
3,3,3,Integration,Episodic Evidence,Consistent,544,0.796
4,3,3,Grades,Scientific Study,Inconsistent,544,0.796
2,4,3,Signalling,Episodic Evidence,Consistent,545,0.925
NA,4,3,Integration,Scientific Study,Inconsistent,545,0.925
3,4,3,Signalling,Episodic Evidence,Inconsistent,546,0.887
4,4,3,Grades,Scientific Study,Consistent,546,0.887
NA,4,4,Retention,Scientific Study,Inconsistent,547,1.16
NA,4,4,Signalling,Episodic Evidence,Inconsistent,547,1.16
NA,4,4,Retention,Episodic Evidence,Inconsistent,548,1.041
4,4,4,Integration,Scientific Study,Inconsistent,548,1.041
2,4,3,Retention,Scientific Study,Inconsistent,549,1.041
NA,4,3,Signalling,Episodic Evidence,Inconsistent,549,1.041
NA,4,3,Integration,Episodic Evidence,Consistent,550,1.209
NA,4,3,Grades,Scientific Study,Inconsistent,550,1.209
2,4,4,Retention,Scientific Study,Inconsistent,551,1.209
1,4,4,Grades,Episodic Evidence,Inconsistent,551,1.209
3,4,3,Retention,Scientific Study,Inconsistent,552,0.842
4,4,3,Grades,Episodic Evidence,Inconsistent,552,0.842
NA,5,3,Signalling,Scientific Study,Inconsistent,555,0.842
1,5,3,Retention,Episodic Evidence,Inconsistent,555,0.842
4,5,5,Signalling,Episodic Evidence,Consistent,556,0.842
5,5,5,Retention,Scientific Study,Consistent,556,0.842
4,5,3,Retention,Episodic Evidence,Consistent,558,0.842
4,5,3,Grades,Scientific Study,Consistent,558,0.842
3,4,4,Retention,Scientific Study,Inconsistent,560,1.101
2,4,4,Grades,Episodic Evidence,Inconsistent,560,1.101
NA,3,3,Retention,Scientific Study,Consistent,561,1.205
NA,3,3,Grades,Episodic Evidence,Consistent,561,1.205
3,4,NA,Integration,Scientific Study,Consistent,562,0.629
3,4,NA,Grades,Episodic Evidence,Inconsistent,562,0.629
2,4,4,Integration,Episodic Evidence,Inconsistent,563,1.205
4,4,4,Grades,Scientific Study,Consistent,563,1.205
3,4,4,Retention,Episodic Evidence,Inconsistent,565,1.205
4,4,4,Integration,Scientific Study,Inconsistent,565,1.205
4,4,4,Integration,Episodic Evidence,Consistent,567,1.139
2,4,4,Retention,Scientific Study,Consistent,567,1.139
4,4,3,Grades,Episodic Evidence,Consistent,621,0.851
5,4,3,Integration,Scientific Study,Inconsistent,621,0.851
1,4,1,Grades,Episodic Evidence,Inconsistent,622,0.922
1,4,1,Signalling,Scientific Study,Consistent,622,0.922
4,4,4,Integration,Episodic Evidence,Inconsistent,624,0.651
5,4,4,Retention,Scientific Study,Inconsistent,624,0.651
5,4,4,Retention,Episodic Evidence,Consistent,625,1.101
3,4,4,Integration,Scientific Study,Consistent,625,1.101
3,3,3,Grades,Scientific Study,Consistent,626,0.842
3,3,3,Integration,Episodic Evidence,Inconsistent,626,0.842
5,5,4,Integration,Scientific Study,Consistent,628,0.596
4,5,4,Signalling,Episodic Evidence,Inconsistent,628,0.596
3,4,4,Grades,Scientific Study,Inconsistent,629,1.209
3,4,4,Retention,Episodic Evidence,Inconsistent,629,1.209
4,4,5,Retention,Episodic Evidence,Inconsistent,630,0.744
5,4,5,Signalling,Scientific Study,Inconsistent,630,0.744
4,5,4,Signalling,Scientific Study,Consistent,631,0.925
1,5,4,Grades,Episodic Evidence,Inconsistent,631,0.925
2,4,4,Retention,Episodic Evidence,Inconsistent,633,1.209
2,4,4,Grades,Scientific Study,Inconsistent,633,1.209
4,4,4,Retention,Episodic Evidence,Consistent,634,2.176
5,4,4,Grades,Scientific Study,Consistent,634,2.176
4,5,5,Retention,Episodic Evidence,Consistent,635,1.209
5,5,5,Integration,Scientific Study,Consistent,635,1.209
